schooltbl_id,school_id,school_name,school_address,school_principal,school_contact,school_link,school_email,school_district,school_type,school_shsAvailability,school_spedAvailablity,school_status
,136436,Amado V. Hernandez,"Bo. Magsaysay, Tondo, Manila",Mr. Emmanuel R. Soriano,8-289-6962,avhernandezes.depedmanila.com,emmanuel.soriano001@deped.gov.ph,1,ELEMENTARY SCHOOLS,no,no,active
,136430,Arsenio H. Lacson,"Younger St,  Balut Tondo, Manila",Ms. Jenneth P. Salanga,8-523-0618,alacsones.depedmanila.com,jenneth.salanga@deped.gov.ph,1,ELEMENTARY SCHOOLS,no,no,active
,136433,Emilio Jacinto,"Velasquez St. Tondo, Manila",Ms. Minerva M. Rosco,8-244-1015, ejacintoes.depedmanila.com,minerva.rosco001@deped.gov.ph,1,ELEMENTARY SCHOOLS,no,no,active
,136439,Isabelo Delos Reyes,"Morga-Sande St. Tondo, Manila",Ms. Eleodora B. Vergara,8-242-3823,idelosreyeses.depedmanila.com,eleodora.vergara001@deped.gov.ph,1,ELEMENTARY SCHOOLS,no,no,active
,136440,Jose Corazon De Jesus,"N. Zamora St. Tondo, Manila",Ms. Emmalyn F. Fortunato-Csiki,8-354-5734,jcdejesuses.depedmanila.com,emmalyn.fotunato002@deped.gov.ph,1,ELEMENTARY SCHOOLS,no,no,active
,136432,Jose Rizal,"Tayuman-Pingkian St. Tondo, Manila",Ms. Marilou S. Calma,8-354-7207,joserizales.depedmanila.com,marilou.calma002@deped.gov.ph,1,ELEMENTARY SCHOOLS,no,no,active
,136438,Magat Salamat,"1429 Sta. Maria St. Tondo, Manila",Ms. Blesilda B. Cueto,8-254-6334,magatsalamates.depedmanila.com,blesilda.cueto001@deped.gov.ph,1,ELEMENTARY SCHOOLS,no,no,active
,136437,Manuel L. Quezon (ES),"Perla-Verona St. Tondo, Manila",Mr. Marcelo D. Mislang,8-254-6158,mlquezones.depedmanila.com,marcelomislang1972@gmail.com,1,ELEMENTARY SCHOOLS,no,no,active
,136441,Rosauro Almario,"Kagitingan St. Tondo, Manila","Mr. Graciano A. Budoy, Jr.",8-254-1376,raes.depedmanila.com,graciano.budoy@deped.gov.ph,1,ELEMENTARY SCHOOLS,no,no,active
,136435,Teodoro R. Yangco,"Franco-Dandan St. Tondo, Manila",Mr. Romencio L. Rubio,8-252-2738,tryangcoes.depedmanila.com,romencio.rubio004@deped.gov.ph,1,ELEMENTARY SCHOOLS,no,no,active
,500566,Timoteo Paez (ES),"Nepa St. Balut, Tondo, Manila",Ms. Marlyn L. Osunero,8-809-9290,tpaezes.depedmanila.com,marlyn.osunero001@deped.gov.ph,1,ELEMENTARY SCHOOLS,no,no,active
,136434,Gen. Vicente Lim,"Roxas St. Magsaysay Village Tondo, Manila",Ms. Belinda V. Dionisio,-,gvlimes.depedmanila.com,belinda.dionisio001@deped.gov.ph,1,ELEMENTARY SCHOOLS,no,no,active
,136418,Arsenio C. Herrera," Santos Teodoro St. Tondo, Manila",Ms. Novem Tenero,8-365-5167,acherreraes.depedmanila.com,novem.tenero001@deped.gov.ph,2,ELEMENTARY SCHOOLS,no,no,active
,136419,Barrio Obrero," Narra Ext. Tondo, Manila",Ms. Rosana G. Ramos,8-362-4966, barrioobreroes.depedmanila.com,rosana.ramos003@deped.gov.ph,2,ELEMENTARY SCHOOLS,no,no,active
,136426,Francisco Benitez,"143 Solis St. Tondo, Manila",Ms. Violeta S. Labang,8-241-3524,fbenitezes.depedmanila.com,violeta.labang001@deped.gov.ph,2,ELEMENTARY SCHOOLS,no,no,active
,136428,Gregoria De Jesus,"Dagupan-Bulacan St. Tondo, Manila",Mr. Nichol Wayne F. Fabonan,8-255-2079,gdejesuses.depedmanila.com,nicholwayne.fabonan@deped.gov.ph,2,ELEMENTARY SCHOOLS,no,no,active
,136443,Gregorio Del Pilar,"Abad Santos-Recto St. Tondo, Manila",Ms. Conchita P. Guiyab,8-353-7418,gdelpilares.depedmanila.com,conchita.guiyab001@deped.gov.ph,2,ELEMENTARY SCHOOLS,no,no,active
,136427,Lakan Dula (ES),"154 Solis St. Tondo, Manila",Ms. Marites P. Labaguez,8-254-9113,lakandulaes.depedmanila.com,marites.labaguez001@deped.gov.ph,2,ELEMENTARY SCHOOLS,no,no,active
,136421,Lapu-Lapu,"Molave Cor. Morong St. Tondo, Manila",Ms. Nieves R. Lising ,8-254-2342,lapulapues.depedmanila.com,nieves.lising001@deped.gov.ph,2,ELEMENTARY SCHOOLS,no,no,active
,136429,Librada Avelino,"Sunog-Apog St. Tondo, Manila",Ms. Dancel A. Udquim,8-748-4475,libradaavelinoes.depedmanila.com,dancel.udquim001@deped.gov.ph,2,ELEMENTARY SCHOOLS,no,no,active
,136423,Mariano Ponce,"Bugallon-T. Mapua St. Tondo, Manila",Mr. Jose B. Bustillo Jr.,8-354-2109,marianoponcees.depedmanila.com,josejr.bustillo@deped.gov.ph,2,ELEMENTARY SCHOOLS,no,no,active
,136444,Gen. Maximino Hizon,"Velasquez St., Tondo Manila",Ms. Divina Gracia M. Barrientos,8-254-6162,gmhizones.depedmanila.com,divinagracia.barrientos@deped.gov.ph,2,ELEMENTARY SCHOOLS,no,no,active
,136424,Melchora Aquino,"Solis St. Tondo, Manila",Mr. Jonathan R. Guillermo,8-254-0264,maquinoes.depedmanila.com,jonathan.guillermo002@deped.gov.ph,2,ELEMENTARY SCHOOLS,no,no,active
,136425,Plaridel,"398 Solis St. Tondo, Manila",Ms. Cecilia O. Barnachia,8-290-8897,plarideles.depedmanila.com,cecilia.barnachia001@deped.gov.ph,2,ELEMENTARY SCHOOLS,no,no,active
,136445,CENTEX,"J. Abad Santos Ave.-Recto Tondo, Manila",Mr. Gary Z. Regala,8-523-1077,centexes.depedmanila.com,gary.regala001@deped.gov.ph,2,ELEMENTARY SCHOOLS,no,no,active
,500567,Felipe G. Calderon (ES),"Morong-Limay-Manuguit St. Tondo, Manila",Mr. John Francis S.  Tiamzon,7-7005-1371,fgcalderones.depedmanila.com,johnfrancis.tiamzon@deped.gov.ph,2,ELEMENTARY SCHOOLS,no,no,active
,136446,Andres Bonifacio," Tayuman-Ipil St. Sta. Cruz, Manila",Ms. Olivia B. Joaquin,8-523-8558,abonifacioes.depedmanila.com,olivia.joaquin@deped.gov.ph,3,ELEMENTARY SCHOOLS,no,no,active
,136422,Antonio Luna,"2701 Lico St. Tondo, Manila",Ms. Judy V. Sampang,7-120-6930,antoniolunaes.depedmanila.com,judy.sampang001@deped.gov.ph,3,ELEMENTARY SCHOOLS,no,no,active
,136453,Apolinario Mabini,"Severino-Soler St. Quiapo, Manila",Ms. Maria Cereza Amparo A. Maguyon,8-643-8750,amabinies.depedmanila.com,cherrymaguyon30@gmail.com,3,ELEMENTARY SCHOOLS,no,no,active
,136450,Antonio Regidor,"T. Alonzo St. Sta. Cruz, Manila",Mr. Sheruel F. Mamaril,8-255-1289,aregidores.depedmanila.com,sheruel.mamaril002@deped.gov.ph,3,ELEMENTARY SCHOOLS,no,no,active
,136448,Cecilio Apostol,"Tayabas-F. Huertas St. Sta. Cruz, Manila","Mr. Rosmito A. Rodriguez, Jr.",8-353-5842,cecilioapostoles.depedmanila.com,rosmito.rodriguezjr@deped.gov.ph,3,ELEMENTARY SCHOOLS,no,no,active
,136447,Eriberto Remigio,"Oroquieta Ext. Sta. Cruz, Manila",Mr. Carlos S. Llarina,8-671-5660,eres.depedmanila.com,carlos.llarina001@deped.gov.ph,3,ELEMENTARY SCHOOLS,no,no,active
